"","row","col","field","x","y","year","aspect_rad","slope","elev","tpi","prec_cy_d","prec_py_d","gdd_cy_d","gdd_py_d","prec_cy_g","prec_py_g","gdd_cy_g","gdd_py_g","ndvi_cy_s","ndvi_py_s","ndvi_2py_s","ndvi_cy_l","ndvi_py_l","ndvi_2py_l","ndre_cy","ndre_py","ndre_2py","cire_cy","cire_py","cire_2py","ssm_cy","ssm_py","susm_cy","susm_py","grtgroup","texture0cm","texture10cm","texture30cm","texture60cm","texture100cm","texture200cm","bulkdensity0cm","bulkdensity10cm","bulkdensity30cm","bulkdensity60cm","bulkdensity100cm","bulkdensity200cm","claycontent0cm","claycontent10cm","claycontent30cm","claycontent60cm","claycontent100cm","claycontent200cm","sandcontent0cm","sandcontent10cm","sandcontent30cm","sandcontent60cm","sandcontent100cm","sandcontent200cm","phw0cm","phw10cm","phw30cm","phw60cm","phw100cm","phw200cm","watercontent0cm","watercontent10cm","watercontent30cm","watercontent60cm","watercontent100cm","watercontent200cm","carboncontent0cm","carboncontent10cm","carboncontent30cm","carboncontent60cm","carboncontent100cm","carboncontent200cm","ndwi_cy_s","ndwi_py_s","ndwi_2py_s","ndwi_cy_l","ndwi_py_l","ndwi_2py_l","aspect_cos","aspect_sin","musym","bulkdensity","claycontent","sandcontent","phw","watercontent","carboncontent","texture","aspect_rad_cent","slope_cent","elev_cent","tpi_cent","prec_cy_d_cent","prec_py_d_cent","gdd_cy_d_cent","gdd_py_d_cent","prec_cy_g_cent","prec_py_g_cent","gdd_cy_g_cent","gdd_py_g_cent","ndvi_cy_s_cent","ndvi_py_s_cent","ndvi_2py_s_cent","ndvi_cy_l_cent","ndvi_py_l_cent","ndvi_2py_l_cent","ndre_cy_cent","ndre_py_cent","ndre_2py_cent","cire_cy_cent","cire_py_cent","cire_2py_cent","ssm_cy_cent","ssm_py_cent","susm_cy_cent","susm_py_cent","bulkdensity0cm_cent","bulkdensity10cm_cent","bulkdensity30cm_cent","bulkdensity60cm_cent","bulkdensity100cm_cent","bulkdensity200cm_cent","claycontent0cm_cent","claycontent10cm_cent","claycontent30cm_cent","claycontent60cm_cent","claycontent100cm_cent","claycontent200cm_cent","sandcontent0cm_cent","sandcontent10cm_cent","sandcontent30cm_cent","sandcontent60cm_cent","sandcontent100cm_cent","sandcontent200cm_cent","phw0cm_cent","phw10cm_cent","phw30cm_cent","phw60cm_cent","phw100cm_cent","phw200cm_cent","watercontent0cm_cent","watercontent10cm_cent","watercontent30cm_cent","watercontent60cm_cent","watercontent100cm_cent","watercontent200cm_cent","carboncontent0cm_cent","carboncontent10cm_cent","carboncontent30cm_cent","carboncontent60cm_cent","carboncontent100cm_cent","carboncontent200cm_cent","ndwi_cy_s_cent","ndwi_py_s_cent","ndwi_2py_s_cent","ndwi_cy_l_cent","ndwi_py_l_cent","ndwi_2py_l_cent","aspect_cos_cent","aspect_sin_cent","bulkdensity_cent","claycontent_cent","sandcontent_cent","phw_cent","watercontent_cent","carboncontent_cent","WHC","id","aa_n","yld","pro","NR"
"1",124,56,1,639545.883207024,5101800.12931206,2021,2.7052603,3,1282.7423,0.41992188,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.103876635,0.63166624,0.7339697,0.14436764,0.7212946,0.78627247,-0.0062111802,-0.0031615323,0.0040270616,0.121585906,2.0879025,3.0646951,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8824262,0.6763932,0.90765536,0.61396617,0.8320742,0.8152174,-0.90630776,0.42261833,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.113892576183579,0.0276917118512783,16.861965220759,-0.107892257173238,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.00362634391963594,0.0197821496707978,0.0371971967118512,0.000778257218435302,0.0942046094074361,-0.012840204992254,-0.00279981742267564,0.00949428252383811,-0.00596460663182301,-0.0099621852608443,0.0178457418938809,0.554293472153369,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,-0.00225442738768389,0.142217773467467,-0.0099962174496514,-0.000659861384585625,0.014151278902014,0.0214854939969016,-0.185847159474945,0.17804532348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,47.7884806438557,13.5661132861334,135.469769131523
"1.1",125,56,1,639545.883207024,5101810.12931206,2021,2.4783676,3,1283.1901,0.44848633,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.10956595,0.6342449,0.7066493,0.14554186,0.7205943,0.7490331,-0.0077745384,-0.010473659,0.004716196,0.12871726,2.091316,2.842297,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8905074,0.63485247,0.9180877,0.61994326,0.83196366,0.82366455,-0.7880108,0.61566144,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.340785276183579,0.0276917118512783,17.3097652207591,-0.0793278071732378,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.00931565891963594,0.0223608096707978,0.00987679671185127,0.00195247721843531,0.0935043094074361,-0.050079574992254,-0.00436317562267564,0.00218215582383811,-0.00527547223182301,-0.0028308312608443,0.0212592418938806,0.331895372153369,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.00582677261231601,0.100677043467467,0.000436122550348528,0.00531722861541439,0.014040738902014,0.0299326439969017,-0.0675501994749453,0.37108843348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,47.0482023668452,13.5573815954885,130.045193608833
"1.2",119,60,1,639585.883207024,5101750.12931206,2021,2.7750735,4,1278.9492,0.5284424,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.118770584,0.71767443,0.75005054,0.14191708,0.71355605,0.7385977,-0.0026548672,0.0089451205,0.007427678,0.16612378,3.6013825,3.188324,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8916205,0.6182949,0.9151704,0.57490605,0.82204634,0.8191925,-0.93358046,0.35836792,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.0440793761835785,1.02769171185128,13.0688652207591,0.000628262826762205,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.0185202929196359,0.105790339670798,0.0532780367118513,-0.00167230278156469,0.0864660594074361,-0.060514974992254,0.000756495577324361,0.0216009353238381,-0.00256399023182301,0.0345756887391557,1.53132574189388,0.67792237215337,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.0069398726123161,0.0841194734674671,-0.00248117744965137,-0.0397199813845857,0.00412341890201395,0.0254605939969016,-0.213119859474945,0.11379491348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,48.1028777294672,13.5855521032262,137.781658854297
"1.3",119,57,1,639555.883207024,5101750.12931206,2021,1.7627826,4,1280.8385,0.64404297,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.09755561,0.6524954,0.74138284,0.14733414,0.7304114,0.8108378,-0.0040056696,-0.016207833,0.012272316,0.14031972,3.2548597,3.216698,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.88648516,0.67081237,0.9394456,0.6106005,0.832463,0.8085554,-0.19080903,0.98162717,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-1.05637027618358,1.02769171185128,14.9581652207592,0.116228832826762,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,-0.00269468108036405,0.0406113096707977,0.0446103367118512,0.00374475721843531,0.103321409407436,0.011725125007746,-0.000594306822675639,-0.00355201817616189,0.00228064776817699,0.00877162873915571,1.18480294189388,0.70629637215337,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.00180453261231606,0.136636943467467,0.0217940225503486,-0.00402553138458561,0.0145400789020139,0.0148234939969016,0.529651570525055,0.73705416348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"High",13,80,49.8253354047827,14.0345916233905,150.392393537416
"1.4",119,58,1,639565.883207024,5101750.12931206,2021,1.9198622,4,1279.9105,0.40368652,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.108787544,0.70815253,0.75315064,0.14733414,0.7304114,0.8108378,-0.0026548672,0.0089451205,0.007427678,0.16612378,3.6013825,3.188324,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8891512,0.682465,0.9321983,0.6106005,0.832463,0.8085554,-0.34202012,0.9396926,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.899290676183578,1.02769171185128,14.030165220759,-0.124127617173238,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.00853725291963595,0.0962684396707978,0.0563781367118512,0.00374475721843531,0.103321409407436,0.011725125007746,0.000756495577324361,0.0216009353238381,-0.00256399023182301,0.0345756887391557,1.53132574189388,0.67792237215337,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.00447057261231609,0.148289573467467,0.0145467225503486,-0.00402553138458561,0.0145400789020139,0.0148234939969016,0.378440480525055,0.69511959348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"High",13,80,53.1710752065327,13.9387509208424,174.930145804385
"1.5",121,57,1,639555.883207024,5101770.12931206,2021,2.0420353,4,1281.1785,0.3935547,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.11054313,0.66415006,0.7505046,0.14733414,0.7304114,0.8108378,-0.0070199417,-0.02666166,0.018955408,0.125,3.1644592,3.2306256,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8811282,0.6956366,0.9157962,0.6106005,0.832463,0.8085554,-0.4539906,0.89100647,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.777117576183578,1.02769171185128,15.2981652207591,-0.134259437173238,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.0102928389196359,0.0522659696707978,0.0537320967118512,0.00374475721843531,0.103321409407436,0.011725125007746,-0.00360857892267564,-0.0140058451761619,0.00896373976817699,-0.0065480912608443,1.09440244189388,0.72022397215337,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,-0.00355242738768391,0.161461173467467,-0.00185537744965147,-0.00402553138458561,0.0145400789020139,0.0148234939969016,0.266470000525055,0.64643346348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"High",13,80,50.786997718491,13.8442886515793,157.491038797627
"1.6",121,58,1,639565.883207024,5101770.12931206,2021,2.740167,3,1280.569,0.21582031,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.10084215,0.73234034,0.74471545,0.14733414,0.7304114,0.8108378,-0.004361843,-0.013157895,0.008093623,0.14111812,2.8978174,2.674753,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8820059,0.67342925,0.91803026,0.6106005,0.832463,0.8085554,-0.92050487,0.39073116,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.0789858761835784,0.0276917118512783,14.6886652207591,-0.311993827173238,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.000591858919635951,0.120456249670798,0.0479429467118512,0.00374475721843531,0.103321409407436,0.011725125007746,-0.000950480222675639,-0.000502080176161889,-0.00189804523182301,0.00957002873915572,0.827760641893881,0.164351372153369,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,-0.00267472738768393,0.139253823467467,0.000378682550348564,-0.00402553138458561,0.0145400789020139,0.0148234939969016,-0.200044269474945,0.14615815348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"High",13,80,53.6132129358035,13.7640089643282,178.185654711292
"1.7",123,57,1,639555.883207024,5101790.12931206,2021,2.6703537,4,1282.155,0.4720459,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.103739984,0.6508011,0.7344913,0.14436764,0.7212946,0.78627247,-0.0028105679,-0.012091179,0.010502066,0.12766904,2.7832818,2.5932202,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8870543,0.6846088,0.912818,0.61396617,0.8320742,0.8152174,-0.89100647,0.45399058,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.148799176183578,1.02769171185128,16.2746652207591,-0.0557682371732378,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.00348969291963594,0.0389170096707978,0.0377187967118512,0.000778257218435302,0.0942046094074361,-0.012840204992254,0.000600794877324361,0.00056463582383811,0.000510397768176994,-0.00387905126084429,0.713225041893881,0.0828185721533696,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.00237367261231602,0.150433373467467,-0.00483357744965141,-0.000659861384585625,0.014151278902014,0.0214854939969016,-0.170545869474945,0.20941757348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,48.0121861743036,13.5998842177989,137.124513618414
"1.8",123,58,1,639565.883207024,5101790.12931206,2021,3.0194197,4,1282.0365,0.6687012,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.10599871,0.6457547,0.6838519,0.14436764,0.7212946,0.78627247,-0.005524862,-0.020877857,0.011441648,0.1315307,2.635838,2.028157,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.87408185,0.58411,0.91397536,0.61396617,0.8320742,0.8152174,-0.99254614,0.12186928,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,0.200266823816421,1.02769171185128,16.156165220759,0.140887062826762,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.00574841891963594,0.0338706096707978,-0.0129206032881488,0.000778257218435302,0.0942046094074361,-0.012840204992254,-0.00211349922267564,-0.00822204217616189,0.00144997976817699,-1.73912608442961e-05,0.565781241893881,-0.48224462784663,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,-0.0105987773876839,0.0499345734674671,-0.00367621744965141,-0.000659861384585625,0.014151278902014,0.0214854939969016,-0.272085539474945,-0.12270372651837,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,47.0055520662916,13.7572274944429,129.798749324193
"1.9",125,57,1,639555.883207024,5101810.12931206,2021,2.4783676,3,1283.1901,0.6374512,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.113598675,0.6147619,0.6808948,0.14554186,0.7205943,0.7490331,0.00068969844,-0.010804049,0.009657343,0.15680212,2.6012146,2.3543308,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.88803375,0.52418774,0.9183116,0.61994326,0.83196366,0.82366455,-0.7880108,0.61566144,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.340785276183579,0.0276917118512783,17.3097652207591,0.109637062826762,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,0.0133483839196359,0.00287780967079776,-0.0158777032881487,0.00195247721843531,0.0935043094074361,-0.050079574992254,0.00410106121732436,0.00185176582383811,-0.000334325231823005,0.0252540287391557,0.531157841893881,-0.156070827846631,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.00335312261231602,-0.0099876865325329,0.000660022550348582,0.00531722861541439,0.014040738902014,0.0299326439969017,-0.0675501994749453,0.37108843348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,47.4954636796161,13.7192535466068,133.38031624637
"1.10",125,58,1,639565.883207024,5101810.12931206,2021,2.0594885,2,1283.0231,0.8631592,16.82,446.05,NA,NA,65.5,397.9,146.3999,2345.3,0.098212406,0.6757758,0.67058283,0.14554186,0.7205943,0.7490331,-0.0016352201,-0.027404433,0.0055828867,0.14049977,3.0968075,2.3310165,9.512972,11.190966,62.879086,82.84801,272,7,7,4,4,7,7,146,148,150,152,153,153,26,27,30,30,27,26,26,27,30,30,27,26,6.9,6.9,7,7.3,7.4,7.5,23,23,23,23,23,22,3,2,2,1,1,NA,0.8976243,0.55212355,0.90433985,0.61994326,0.83196366,0.82366455,-0.46947157,0.88294756,71,150.333333333333,27.6666666666667,27.6666666666667,7.16666666666667,22.8333333333333,1.8,7,-0.759664376183578,-0.972308288148722,17.1427652207592,0.335345062826762,0,0.670782339271909,NA,NA,0.662587141750578,-1.67761425251746,-1.58599959721147,-13.8579395817196,-0.00203788508036405,0.0638917096707978,-0.0261896732881488,0.00195247721843531,0.0935043094074361,-0.050079574992254,0.00177614267732436,-0.0147486181761619,-0.00440878153182301,0.0089516787391557,1.02675074189388,-0.179385127846631,0,0,0,0,0.29395817195973,0.759101471727348,-2.81003098373353,-3.55809450038728,-2.99961270333074,-3.10553834237027,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-1.29705654531371,-1.29589465530596,-1.07900852052672,0.476374903175834,-0.582300542215336,0.365608055770721,-0.428330751355538,-0.47356700232378,-0.555635166537567,-0.416789310611929,-0.407068164213787,-0.354705654531371,0.201781564678544,0.282339271882261,-0.357087529047249,0.101084430673897,0.498257164988381,-0.053834237025562,0.685902401239349,-0.127420604182804,0.289116963594113,0,0,NA,0.0129436726123161,0.0179481234674671,-0.0133117274496515,0.00531722861541439,0.014040738902014,0.0299326439969017,0.250989030525055,0.63837455348163,-1.90336948102245,-0.568712884069196,-0.568712884069196,-0.439349341595662,0.112090111025044,0.250555125225923,"Medium",13,80,51.6324445103244,14.4728101073182,163.161186050617
